year,month,day,hour,O3_target,NO2_target
2024.00,5.00,5.00,0.00,3.08,77.47
2024.00,5.00,5.00,1.00,3.30,87.30
2024.00,5.00,5.00,2.00,10.30,96.42
2024.00,5.00,5.00,3.00,34.67,84.80
2024.00,5.00,5.00,4.00,65.42,88.85
2024.00,5.00,5.00,5.00,111.75,67.42
2024.00,5.00,5.00,6.00,146.05,58.88
2024.00,5.00,5.00,7.00,129.07,35.85
2024.00,5.00,5.00,8.00,135.45,41.10
2024.00,5.00,5.00,9.00,121.92,35.65
2024.00,5.00,5.00,10.00,113.65,31.47
2024.00,5.00,5.00,11.00,104.42,41.20
2024.00,5.00,5.00,12.00,88.25,59.23
2024.00,5.00,5.00,13.00,66.90,76.88
2024.00,5.00,5.00,14.00,19.55,133.20
2024.00,5.00,5.00,15.00,16.55,130.90
2024.00,5.00,5.00,16.00,12.82,132.38
2024.00,5.00,5.00,17.00,6.15,134.62
2024.00,5.00,5.00,18.00,9.38,129.30
2024.00,5.00,5.00,19.00,12.75,105.38
2024.00,5.00,5.00,20.00,15.70,87.32
2024.00,5.00,5.00,21.00,18.02,85.50
2024.00,5.00,5.00,22.00,25.15,65.47
2024.00,5.00,5.00,23.00,19.60,73.50
2022.00,3.00,26.00,0.00,23.17,50.18
2022.00,3.00,26.00,1.00,18.10,57.62
2022.00,3.00,26.00,2.00,20.23,59.35
2022.00,3.00,26.00,3.00,35.52,58.77
2022.00,3.00,26.00,4.00,49.35,64.25
2022.00,3.00,26.00,5.00,71.88,59.90
2022.00,3.00,26.00,6.00,92.83,54.02
2022.00,3.00,26.00,7.00,85.40,47.25
2022.00,3.00,26.00,8.00,81.47,43.07
2022.00,3.00,26.00,9.00,91.90,38.67
2022.00,3.00,26.00,10.00,82.75,43.18
2022.00,3.00,26.00,11.00,76.58,39.20
2022.00,3.00,26.00,12.00,65.03,54.70
2022.00,3.00,26.00,13.00,37.35,82.80
2022.00,3.00,26.00,14.00,13.57,105.83
2022.00,3.00,26.00,15.00,5.20,117.52
