year,month,day,hour,O3_target,NO2_target
2022.00,3.00,26.00,0.00,3.50,25.48
2022.00,3.00,26.00,1.00,2.82,28.23
2022.00,3.00,26.00,2.00,5.20,25.83
2022.00,3.00,26.00,3.00,11.22,26.02
2022.00,3.00,26.00,4.00,21.73,26.97
2022.00,3.00,26.00,5.00,48.05,14.65
2022.00,3.00,26.00,6.00,52.55,14.68
2022.00,3.00,26.00,7.00,55.62,12.75
2022.00,3.00,26.00,8.00,55.22,11.38
2022.00,3.00,26.00,9.00,55.12,13.05
2022.00,3.00,26.00,10.00,50.43,12.47
2022.00,3.00,26.00,11.00,45.52,14.03
2022.00,3.00,26.00,12.00,44.58,15.30
2022.00,3.00,26.00,13.00,32.12,28.62
2022.00,3.00,26.00,14.00,19.15,39.80
2022.00,3.00,26.00,15.00,5.70,50.25
2022.00,3.00,26.00,16.00,5.22,47.70
2022.00,3.00,26.00,17.00,2.48,50.58
2022.00,3.00,26.00,18.00,1.95,44.20
2022.00,3.00,26.00,19.00,21.67,25.95
2022.00,3.00,26.00,20.00,30.80,17.18
2022.00,3.00,26.00,21.00,16.38,19.40
2022.00,3.00,26.00,22.00,6.70,31.15
2022.00,3.00,26.00,23.00,7.28,26.27
2019.00,11.00,22.00,0.00,5.53,90.85
2019.00,11.00,22.00,1.00,5.12,86.33
2019.00,11.00,22.00,2.00,4.72,95.90
2019.00,11.00,22.00,3.00,5.80,114.90
2019.00,11.00,22.00,4.00,9.45,141.55
2019.00,11.00,22.00,5.00,41.73,105.82
2019.00,11.00,22.00,6.00,90.45,73.57
2019.00,11.00,22.00,7.00,148.75,54.80
2019.00,11.00,22.00,8.00,189.32,43.93
2019.00,11.00,22.00,9.00,196.40,41.10
2019.00,11.00,22.00,10.00,182.90,45.67
2019.00,11.00,22.00,11.00,149.05,57.58
2019.00,11.00,22.00,12.00,15.80,140.45
2019.00,11.00,22.00,13.00,3.88,134.45
2019.00,11.00,22.00,14.00,5.33,115.17
2019.00,11.00,22.00,15.00,6.35,122.70
2019.00,11.00,22.00,16.00,6.12,112.22
2019.00,11.00,22.00,17.00,4.88,111.67
2019.00,11.00,22.00,18.00,8.80,93.33
2019.00,11.00,22.00,19.00,27.58,54.62
2019.00,11.00,22.00,20.00,39.90,31.75
2019.00,11.00,22.00,21.00,29.70,30.90
2019.00,11.00,22.00,22.00,16.05,44.05
2019.00,11.00,22.00,23.00,10.80,49.17
2020.00,8.00,21.00,0.00,159.00,37.80
2020.00,8.00,21.00,1.00,131.00,32.60
2020.00,8.00,21.00,2.00,156.73,28.58
2020.00,8.00,21.00,3.00,58.37,29.90
2020.00,8.00,21.00,4.00,16.52,25.22
2020.00,8.00,21.00,5.00,24.95,25.70
2020.00,8.00,21.00,6.00,37.73,24.15
2020.00,8.00,21.00,7.00,34.95,18.52
2020.00,8.00,21.00,8.00,31.03,15.15
2020.00,8.00,21.00,9.00,27.48,14.20
2020.00,8.00,21.00,10.00,33.52,14.60
2020.00,8.00,21.00,11.00,37.47,21.65
2020.00,8.00,21.00,12.00,22.97,25.20
2020.00,8.00,21.00,13.00,16.95,30.70
2020.00,8.00,21.00,14.00,13.85,28.32
2020.00,8.00,21.00,15.00,7.03,39.23
2020.00,8.00,21.00,16.00,5.12,44.40
2020.00,8.00,21.00,17.00,25.80,45.22
2020.00,8.00,21.00,18.00,48.83,41.00
2020.00,8.00,21.00,19.00,128.65,37.70
2020.00,8.00,21.00,20.00,114.00,36.08
2020.00,8.00,21.00,21.00,43.35,35.00
2020.00,8.00,21.00,22.00,31.67,32.95
2020.00,8.00,21.00,23.00,12.85,14.83
2021.00,2.00,20.00,0.00,6.35,43.85
2021.00,2.00,20.00,1.00,4.85,38.65
2021.00,2.00,20.00,2.00,4.25,42.65
2021.00,2.00,20.00,3.00,7.15,33.27
2021.00,2.00,20.00,4.00,8.48,33.60
2021.00,2.00,20.00,5.00,11.20,43.27
2021.00,2.00,20.00,6.00,17.02,47.17
2021.00,2.00,20.00,7.00,40.53,44.02
2021.00,2.00,20.00,8.00,94.90,45.70
2021.00,2.00,20.00,9.00,106.67,35.70
2021.00,2.00,20.00,10.00,99.05,28.60
2021.00,2.00,20.00,11.00,89.52,36.83
