year,month,day,hour,O3_target,NO2_target
2024.00,5.00,5.00,0.00,5.97,54.57
2024.00,5.00,5.00,1.00,4.90,69.92
2024.00,5.00,5.00,2.00,6.90,79.17
2024.00,5.00,5.00,3.00,53.72,63.15
2024.00,5.00,5.00,4.00,118.10,52.42
2024.00,5.00,5.00,5.00,146.50,32.42
2024.00,5.00,5.00,6.00,185.88,31.20
2024.00,5.00,5.00,7.00,164.32,14.55
2024.00,5.00,5.00,8.00,155.10,11.43
2024.00,5.00,5.00,9.00,158.65,10.55
2024.00,5.00,5.00,10.00,162.50,9.25
2024.00,5.00,5.00,11.00,155.62,10.43
2024.00,5.00,5.00,12.00,152.12,12.60
2024.00,5.00,5.00,13.00,140.90,18.60
2024.00,5.00,5.00,14.00,100.73,32.40
2024.00,5.00,5.00,15.00,41.27,63.40
2024.00,5.00,5.00,16.00,49.38,57.20
2024.00,5.00,5.00,17.00,34.77,51.80
2024.00,5.00,5.00,18.00,54.55,35.48
2024.00,5.00,5.00,19.00,59.83,27.45
2024.00,5.00,5.00,20.00,56.60,26.18
2024.00,5.00,5.00,21.00,61.93,22.12
2024.00,5.00,5.00,22.00,47.60,24.10
2024.00,5.00,5.00,23.00,51.97,23.25
2022.00,3.00,26.00,0.00,7.30,17.98
2022.00,3.00,26.00,1.00,7.10,18.35
2022.00,3.00,26.00,2.00,6.92,20.02
2022.00,3.00,26.00,3.00,16.05,16.25
2022.00,3.00,26.00,4.00,27.08,13.88
2022.00,3.00,26.00,5.00,38.83,12.20
2022.00,3.00,26.00,6.00,49.65,8.00
2022.00,3.00,26.00,7.00,53.08,8.68
2022.00,3.00,26.00,8.00,52.25,8.45
2022.00,3.00,26.00,9.00,51.32,6.25
2022.00,3.00,26.00,10.00,50.97,8.40
2022.00,3.00,26.00,11.00,49.82,8.50
2022.00,3.00,26.00,12.00,52.40,10.03
2022.00,3.00,26.00,13.00,39.45,16.60
2022.00,3.00,26.00,14.00,27.45,20.35
2022.00,3.00,26.00,15.00,24.02,21.23
2022.00,3.00,26.00,16.00,21.73,21.57
2022.00,3.00,26.00,17.00,15.75,22.67
2022.00,3.00,26.00,18.00,8.97,22.68
2022.00,3.00,26.00,19.00,10.65,20.05
2022.00,3.00,26.00,20.00,10.80,16.43
2022.00,3.00,26.00,21.00,15.43,9.70
2022.00,3.00,26.00,22.00,9.88,13.68
2022.00,3.00,26.00,23.00,11.32,17.43
2019.00,11.00,22.00,0.00,11.10,38.95
2019.00,11.00,22.00,1.00,11.60,35.58
2019.00,11.00,22.00,2.00,14.17,47.30
2019.00,11.00,22.00,3.00,13.82,59.08
2019.00,11.00,22.00,4.00,13.55,101.28
2019.00,11.00,22.00,5.00,20.52,72.95
2019.00,11.00,22.00,6.00,34.95,40.95
2019.00,11.00,22.00,7.00,54.10,25.20
2019.00,11.00,22.00,8.00,68.32,19.70
2019.00,11.00,22.00,9.00,77.55,15.43
2019.00,11.00,22.00,10.00,59.90,16.32
2019.00,11.00,22.00,11.00,53.55,17.82
2019.00,11.00,22.00,12.00,25.10,29.55
2019.00,11.00,22.00,13.00,11.32,49.70
2019.00,11.00,22.00,14.00,9.72,51.62
2019.00,11.00,22.00,15.00,8.32,45.10
2019.00,11.00,22.00,16.00,8.02,42.93
2019.00,11.00,22.00,17.00,8.65,32.80
2019.00,11.00,22.00,18.00,9.17,28.43
2019.00,11.00,22.00,19.00,11.20,24.17
2019.00,11.00,22.00,20.00,12.90,15.07
2019.00,11.00,22.00,21.00,11.88,13.70
