year,month,day,hour,O3_target,NO2_target
2024.00,5.00,5.00,0.00,3.88,98.83
2024.00,5.00,5.00,1.00,4.73,86.90
2024.00,5.00,5.00,2.00,8.70,129.82
2024.00,5.00,5.00,3.00,56.95,100.42
2024.00,5.00,5.00,4.00,115.35,63.27
2024.00,5.00,5.00,5.00,143.35,44.55
2024.00,5.00,5.00,6.00,162.48,30.48
2024.00,5.00,5.00,7.00,141.25,19.62
2024.00,5.00,5.00,8.00,137.88,12.03
2024.00,5.00,5.00,9.00,135.32,10.10
2024.00,5.00,5.00,10.00,133.32,13.48
2024.00,5.00,5.00,11.00,123.42,17.02
2024.00,5.00,5.00,12.00,116.78,20.35
2024.00,5.00,5.00,13.00,96.65,35.48
2024.00,5.00,5.00,14.00,64.17,60.75
2024.00,5.00,5.00,15.00,24.68,102.97
2024.00,5.00,5.00,16.00,39.35,75.03
2024.00,5.00,5.00,17.00,31.65,72.80
2024.00,5.00,5.00,18.00,25.68,69.97
2024.00,5.00,5.00,19.00,26.65,58.25
2024.00,5.00,5.00,20.00,20.80,60.12
2024.00,5.00,5.00,21.00,38.75,50.80
2024.00,5.00,5.00,22.00,32.83,50.55
2024.00,5.00,5.00,23.00,41.85,30.70
2022.00,3.00,26.00,0.00,12.88,74.20
2022.00,3.00,26.00,1.00,6.62,88.22
2022.00,3.00,26.00,2.00,8.20,84.03
2022.00,3.00,26.00,3.00,19.62,82.00
2022.00,3.00,26.00,4.00,47.42,60.72
2022.00,3.00,26.00,5.00,68.05,45.20
2022.00,3.00,26.00,6.00,77.35,37.58
2022.00,3.00,26.00,7.00,72.28,39.65
2022.00,3.00,26.00,8.00,75.55,30.27
2022.00,3.00,26.00,9.00,71.40,34.55
2022.00,3.00,26.00,10.00,68.50,32.42
2022.00,3.00,26.00,11.00,65.55,35.08
2022.00,3.00,26.00,12.00,64.15,44.85
2022.00,3.00,26.00,13.00,53.23,55.90
2022.00,3.00,26.00,14.00,35.02,88.78
2022.00,3.00,26.00,15.00,22.20,118.67
2022.00,3.00,26.00,16.00,23.07,115.82
2022.00,3.00,26.00,17.00,32.45,87.45
2022.00,3.00,26.00,18.00,34.42,77.68
2022.00,3.00,26.00,19.00,34.20,74.17
2022.00,3.00,26.00,20.00,38.40,56.23
2022.00,3.00,26.00,21.00,33.20,71.30
2022.00,3.00,26.00,22.00,29.52,79.78
2022.00,3.00,26.00,23.00,35.27,56.15
2019.00,11.00,22.00,0.00,3.93,65.30
2019.00,11.00,22.00,1.00,4.28,67.05
2019.00,11.00,22.00,2.00,5.12,91.80
2019.00,11.00,22.00,3.00,5.25,115.60
2019.00,11.00,22.00,4.00,4.92,146.00
2019.00,11.00,22.00,5.00,5.95,111.40
2019.00,11.00,22.00,6.00,4.83,73.60
2019.00,11.00,22.00,7.00,5.83,55.33
2019.00,11.00,22.00,8.00,8.38,44.88
2019.00,11.00,22.00,9.00,8.50,48.90
2019.00,11.00,22.00,10.00,7.40,51.75
2019.00,11.00,22.00,11.00,6.53,54.80
2019.00,11.00,22.00,12.00,3.67,98.45
2019.00,11.00,22.00,13.00,3.90,107.67
2019.00,11.00,22.00,14.00,4.45,100.35
2019.00,11.00,22.00,15.00,5.55,104.90
2019.00,11.00,22.00,16.00,4.58,91.80
2019.00,11.00,22.00,17.00,4.12,86.90
2019.00,11.00,22.00,18.00,4.58,85.88
2019.00,11.00,22.00,19.00,4.75,70.67
2019.00,11.00,22.00,20.00,1.70,68.98
2019.00,11.00,22.00,21.00,6.88,61.90
2019.00,11.00,22.00,22.00,4.80,55.05
2019.00,11.00,22.00,23.00,3.78,51.67
2020.00,8.00,21.00,0.00,19.20,20.40
2020.00,8.00,21.00,1.00,20.05,20.23
2020.00,8.00,21.00,2.00,22.77,18.80
2020.00,8.00,21.00,3.00,28.12,21.05
2020.00,8.00,21.00,4.00,47.25,19.40
2020.00,8.00,21.00,5.00,56.27,22.15
2020.00,8.00,21.00,6.00,41.92,19.38
2020.00,8.00,21.00,7.00,42.55,18.12
2020.00,8.00,21.00,8.00,43.67,17.75
2020.00,8.00,21.00,9.00,40.15,17.15
2020.00,8.00,21.00,10.00,44.28,17.17
2020.00,8.00,21.00,11.00,40.45,17.88
2020.00,8.00,21.00,12.00,33.27,17.88
2020.00,8.00,21.00,13.00,34.62,22.18
2020.00,8.00,21.00,14.00,23.97,29.25
2020.00,8.00,21.00,15.00,24.33,26.07
2020.00,8.00,21.00,16.00,19.50,25.93
2020.00,8.00,21.00,17.00,22.40,26.10
2020.00,8.00,21.00,18.00,24.57,24.70
2020.00,8.00,21.00,19.00,23.68,23.68
2020.00,8.00,21.00,20.00,17.00,20.52
2020.00,8.00,21.00,21.00,20.95,18.10
2020.00,8.00,21.00,22.00,21.60,18.10
2020.00,8.00,21.00,23.00,21.73,18.38
2021.00,2.00,20.00,0.00,6.40,41.17
2021.00,2.00,20.00,1.00,6.40,47.17
2021.00,2.00,20.00,2.00,5.23,47.92
2021.00,2.00,20.00,3.00,5.25,47.88
2021.00,2.00,20.00,4.00,7.85,59.15
2021.00,2.00,20.00,5.00,9.27,70.07
2021.00,2.00,20.00,6.00,23.17,62.17
2021.00,2.00,20.00,7.00,57.00,54.12
2021.00,2.00,20.00,8.00,92.87,41.65
2021.00,2.00,20.00,9.00,95.15,28.60
2021.00,2.00,20.00,10.00,90.48,27.88
2021.00,2.00,20.00,11.00,84.62,30.33
2021.00,2.00,20.00,12.00,85.03,41.35
2021.00,2.00,20.00,13.00,33.05,80.97
2021.00,2.00,20.00,14.00,19.98,81.93
2021.00,2.00,20.00,15.00,9.38,96.45
2021.00,2.00,20.00,16.00,9.52,87.97
2021.00,2.00,20.00,17.00,17.88,66.75
2021.00,2.00,20.00,18.00,14.30,67.60
2021.00,2.00,20.00,19.00,6.88,80.03
2021.00,2.00,20.00,20.00,8.00,79.95
2021.00,2.00,20.00,21.00,9.38,82.30
2021.00,2.00,20.00,22.00,8.12,70.50
2021.00,2.00,20.00,23.00,6.65,71.83
2024.00,4.00,11.00,0.00,2.08,79.25
2024.00,4.00,11.00,1.00,2.00,79.20
2024.00,4.00,11.00,2.00,2.05,82.10
2024.00,4.00,11.00,3.00,2.50,82.80
2024.00,4.00,11.00,4.00,4.38,33.62
2024.00,4.00,11.00,5.00,8.18,35.83
2024.00,4.00,11.00,6.00,14.80,28.85
2024.00,4.00,11.00,7.00,21.93,22.78
2024.00,4.00,11.00,8.00,25.90,14.45
2024.00,4.00,11.00,9.00,28.07,12.10
2024.00,4.00,11.00,10.00,32.15,14.47
2024.00,4.00,11.00,11.00,30.82,15.38
2024.00,4.00,11.00,12.00,24.35,16.53
2024.00,4.00,11.00,13.00,24.62,34.35
2024.00,4.00,11.00,14.00,8.97,76.05
2024.00,4.00,11.00,15.00,2.25,148.18
2024.00,4.00,11.00,16.00,7.17,61.23
2024.00,4.00,11.00,17.00,6.07,54.72
2024.00,4.00,11.00,18.00,4.62,66.08
2024.00,4.00,11.00,19.00,3.45,72.40
2024.00,4.00,11.00,20.00,2.40,86.20
2024.00,4.00,11.00,21.00,4.20,78.20
2024.00,4.00,11.00,22.00,3.25,61.70
2024.00,4.00,11.00,23.00,2.38,63.87
2020.00,4.00,24.00,0.00,9.57,26.38
2020.00,4.00,24.00,1.00,8.10,21.65
2020.00,4.00,24.00,2.00,10.38,22.35
2020.00,4.00,24.00,3.00,22.45,16.90
2020.00,4.00,24.00,4.00,38.77,12.25
2020.00,4.00,24.00,5.00,53.22,11.12
2020.00,4.00,24.00,6.00,65.02,9.00
2020.00,4.00,24.00,7.00,73.33,11.68
2020.00,4.00,24.00,8.00,76.90,8.85
2020.00,4.00,24.00,9.00,81.80,9.32
2020.00,4.00,24.00,10.00,83.50,7.70
2020.00,4.00,24.00,11.00,87.00,7.50
2020.00,4.00,24.00,12.00,85.65,9.28
2020.00,4.00,24.00,13.00,66.40,13.27
2020.00,4.00,24.00,14.00,42.58,21.17
2020.00,4.00,24.00,15.00,18.82,58.07
2020.00,4.00,24.00,16.00,28.95,34.57
2020.00,4.00,24.00,17.00,37.65,25.35
2020.00,4.00,24.00,18.00,33.88,21.30
2020.00,4.00,24.00,19.00,38.45,11.22
2020.00,4.00,24.00,20.00,24.20,13.98
2020.00,4.00,24.00,21.00,22.33,20.30
2020.00,4.00,24.00,22.00,34.05,13.12
2020.00,4.00,24.00,23.00,32.62,13.20
2021.00,9.00,19.00,0.00,24.45,25.40
2021.00,9.00,19.00,1.00,35.27,24.35
2021.00,9.00,19.00,2.00,36.00,22.12
2021.00,9.00,19.00,3.00,21.05,17.15
2021.00,9.00,19.00,4.00,31.43,14.90
2021.00,9.00,19.00,5.00,40.75,11.12
2021.00,9.00,19.00,6.00,52.80,9.05
2021.00,9.00,19.00,7.00,69.33,7.22
2021.00,9.00,19.00,8.00,72.38,6.72
2021.00,9.00,19.00,9.00,63.32,6.32
2021.00,9.00,19.00,10.00,63.30,7.22
2021.00,9.00,19.00,11.00,62.42,7.45
2021.00,9.00,19.00,12.00,56.58,10.40
2021.00,9.00,19.00,13.00,46.35,12.58
2021.00,9.00,19.00,14.00,20.60,24.10
2021.00,9.00,19.00,15.00,14.95,26.95
2021.00,9.00,19.00,16.00,14.75,28.70
2021.00,9.00,19.00,17.00,14.05,23.07
2021.00,9.00,19.00,18.00,8.90,24.77
2021.00,9.00,19.00,19.00,8.62,30.30
2021.00,9.00,19.00,20.00,10.70,30.68
2021.00,9.00,19.00,21.00,22.97,25.67
2021.00,9.00,19.00,22.00,21.32,22.40
2021.00,9.00,19.00,23.00,17.88,21.83
2023.00,10.00,7.00,0.00,4.78,21.95
2023.00,10.00,7.00,1.00,4.78,21.08
2023.00,10.00,7.00,2.00,4.47,20.98
2023.00,10.00,7.00,3.00,4.70,20.07
2023.00,10.00,7.00,4.00,4.38,18.48
2023.00,10.00,7.00,5.00,4.33,17.05
2023.00,10.00,7.00,6.00,4.35,17.22
2023.00,10.00,7.00,7.00,4.40,16.82
2023.00,10.00,7.00,8.00,4.45,18.65
2023.00,10.00,7.00,9.00,4.48,18.85
2023.00,10.00,7.00,10.00,4.38,17.90
2023.00,10.00,7.00,11.00,4.50,18.42
2023.00,10.00,7.00,12.00,4.50,18.05
2023.00,10.00,7.00,13.00,4.47,19.05
2023.00,10.00,7.00,14.00,4.28,22.10
2023.00,10.00,7.00,15.00,4.67,24.95
2023.00,10.00,7.00,16.00,4.38,25.40
2023.00,10.00,7.00,17.00,4.77,23.98
2023.00,10.00,7.00,18.00,4.40,23.67
2023.00,10.00,7.00,19.00,4.50,23.08
2023.00,10.00,7.00,20.00,4.00,19.95
2023.00,10.00,7.00,21.00,4.87,16.60
2023.00,10.00,7.00,22.00,4.85,19.42
2023.00,10.00,7.00,23.00,4.67,19.28
2022.00,9.00,30.00,0.00,4.80,26.65
2022.00,9.00,30.00,1.00,4.48,23.77
2022.00,9.00,30.00,2.00,4.20,25.55
2022.00,9.00,30.00,3.00,5.50,29.15
2022.00,9.00,30.00,4.00,16.00,17.52
2022.00,9.00,30.00,5.00,25.95,12.18
2022.00,9.00,30.00,6.00,35.35,7.90
2022.00,9.00,30.00,7.00,41.08,4.58
2022.00,9.00,30.00,8.00,42.65,4.75
2022.00,9.00,30.00,9.00,41.50,5.65
2022.00,9.00,30.00,10.00,39.73,5.00
2022.00,9.00,30.00,11.00,35.45,5.00
2022.00,9.00,30.00,12.00,31.73,7.28
2022.00,9.00,30.00,13.00,22.68,13.05
2022.00,9.00,30.00,14.00,15.08,19.70
2022.00,9.00,30.00,15.00,13.38,24.00
2022.00,9.00,30.00,16.00,7.25,35.52
2022.00,9.00,30.00,17.00,7.57,31.07
2022.00,9.00,30.00,18.00,4.32,35.50
2022.00,9.00,30.00,19.00,4.05,37.70
2022.00,9.00,30.00,20.00,3.10,33.02
2022.00,9.00,30.00,21.00,8.63,36.20
2022.00,9.00,30.00,22.00,5.92,29.27
2022.00,9.00,30.00,23.00,4.90,25.68
2021.00,1.00,11.00,0.00,24.27,32.73
2021.00,1.00,11.00,1.00,29.15,33.08
2021.00,1.00,11.00,2.00,31.82,31.47
2021.00,1.00,11.00,3.00,33.92,32.50
2021.00,1.00,11.00,4.00,35.35,29.50
2021.00,1.00,11.00,5.00,39.95,28.48
2021.00,1.00,11.00,6.00,42.42,30.55
2021.00,1.00,11.00,7.00,51.75,31.10
2021.00,1.00,11.00,8.00,59.47,31.25
2021.00,1.00,11.00,9.00,65.77,29.98
2021.00,1.00,11.00,10.00,65.30,32.75
2021.00,1.00,11.00,11.00,57.70,38.05
2021.00,1.00,11.00,12.00,40.43,49.25
2021.00,1.00,11.00,13.00,13.35,68.72
2021.00,1.00,11.00,14.00,7.62,77.58
2021.00,1.00,11.00,15.00,7.63,79.50
2021.00,1.00,11.00,16.00,7.83,72.33
2021.00,1.00,11.00,17.00,8.25,67.12
2021.00,1.00,11.00,18.00,6.45,66.10
2021.00,1.00,11.00,19.00,6.55,59.32
2021.00,1.00,11.00,20.00,4.80,56.92
2021.00,1.00,11.00,21.00,5.38,51.50
2021.00,1.00,11.00,22.00,6.10,45.90
2021.00,1.00,11.00,23.00,8.62,42.85
2022.00,10.00,1.00,0.00,5.12,26.70
2022.00,10.00,1.00,1.00,5.97,22.73
2022.00,10.00,1.00,2.00,4.15,26.93
2022.00,10.00,1.00,3.00,7.35,16.28
2022.00,10.00,1.00,4.00,16.30,9.07
2022.00,10.00,1.00,5.00,30.77,4.90
2022.00,10.00,1.00,6.00,39.47,6.08
2022.00,10.00,1.00,7.00,41.27,5.43
2022.00,10.00,1.00,8.00,44.78,4.88
2022.00,10.00,1.00,9.00,44.52,5.17
2022.00,10.00,1.00,10.00,45.05,5.10
2022.00,10.00,1.00,11.00,47.03,5.53
2022.00,10.00,1.00,12.00,43.80,7.70
2022.00,10.00,1.00,13.00,32.02,14.75
2022.00,10.00,1.00,14.00,25.05,19.15
2022.00,10.00,1.00,15.00,11.22,35.05
2022.00,10.00,1.00,16.00,6.88,39.45
2022.00,10.00,1.00,17.00,4.95,44.08
2022.00,10.00,1.00,18.00,5.85,47.20
2022.00,10.00,1.00,19.00,4.65,44.62
2022.00,10.00,1.00,20.00,2.90,42.97
2022.00,10.00,1.00,21.00,9.00,40.50
2022.00,10.00,1.00,22.00,5.90,34.23
2022.00,10.00,1.00,23.00,3.72,29.35
2021.00,7.00,12.00,0.00,18.25,17.75
2021.00,7.00,12.00,1.00,17.70,17.20
2021.00,7.00,12.00,2.00,19.73,14.45
2021.00,7.00,12.00,3.00,20.98,16.38
2021.00,7.00,12.00,4.00,22.20,16.77
2021.00,7.00,12.00,5.00,28.20,17.62
2021.00,7.00,12.00,6.00,41.85,20.58
2021.00,7.00,12.00,7.00,46.45,21.30
2021.00,7.00,12.00,8.00,58.05,19.93
2021.00,7.00,12.00,9.00,60.10,19.68
2021.00,7.00,12.00,10.00,63.03,15.82
2021.00,7.00,12.00,11.00,62.73,16.65
2021.00,7.00,12.00,12.00,49.25,19.88
2021.00,7.00,12.00,13.00,39.95,19.32
2021.00,7.00,12.00,14.00,32.88,25.10
2021.00,7.00,12.00,15.00,35.02,28.55
2021.00,7.00,12.00,16.00,27.67,36.05
2021.00,7.00,12.00,17.00,32.40,34.75
2021.00,7.00,12.00,18.00,23.52,24.05
2021.00,7.00,12.00,19.00,33.05,16.28
2021.00,7.00,12.00,20.00,24.00,16.23
2021.00,7.00,12.00,21.00,33.70,15.67
2021.00,7.00,12.00,22.00,26.38,14.80
2021.00,7.00,12.00,23.00,23.38,17.75
2023.00,4.00,26.00,0.00,3.57,42.70
2023.00,4.00,26.00,1.00,6.68,33.85
2023.00,4.00,26.00,2.00,5.82,43.65
2023.00,4.00,26.00,3.00,13.60,31.55
2023.00,4.00,26.00,4.00,23.23,24.55
2023.00,4.00,26.00,5.00,35.85,17.20
2023.00,4.00,26.00,6.00,46.50,15.60
2023.00,4.00,26.00,7.00,53.90,13.90
2023.00,4.00,26.00,8.00,59.35,15.78
2023.00,4.00,26.00,9.00,61.57,13.35
2023.00,4.00,26.00,10.00,64.60,12.38
2023.00,4.00,26.00,11.00,68.97,11.25
2023.00,4.00,26.00,12.00,67.43,12.18
2023.00,4.00,26.00,13.00,56.50,18.05
2023.00,4.00,26.00,14.00,27.52,55.03
2023.00,4.00,26.00,15.00,10.70,79.20
2023.00,4.00,26.00,16.00,3.12,103.78
2023.00,4.00,26.00,17.00,3.98,100.35
2023.00,4.00,26.00,18.00,3.60,77.70
2023.00,4.00,26.00,19.00,3.00,68.73
2023.00,4.00,26.00,20.00,2.20,66.62
2023.00,4.00,26.00,21.00,2.23,62.60
2023.00,4.00,26.00,22.00,2.12,59.47
2023.00,4.00,26.00,23.00,3.88,52.07
2020.00,11.00,18.00,0.00,24.28,46.03
2020.00,11.00,18.00,1.00,16.68,49.28
2020.00,11.00,18.00,2.00,11.15,57.85
2020.00,11.00,18.00,3.00,33.53,55.20
2020.00,11.00,18.00,4.00,55.70,65.67
2020.00,11.00,18.00,5.00,89.93,53.05
2020.00,11.00,18.00,6.00,117.22,40.10
2020.00,11.00,18.00,7.00,127.65,33.40
2020.00,11.00,18.00,8.00,127.22,33.65
2020.00,11.00,18.00,9.00,136.43,36.70
2020.00,11.00,18.00,10.00,138.28,40.12
2020.00,11.00,18.00,11.00,118.12,46.02
2020.00,11.00,18.00,12.00,69.25,70.78
2020.00,11.00,18.00,13.00,19.48,103.90
2020.00,11.00,18.00,14.00,5.60,114.85
2020.00,11.00,18.00,15.00,5.10,117.00
2020.00,11.00,18.00,16.00,6.40,111.98
2020.00,11.00,18.00,17.00,8.90,105.70
2020.00,11.00,18.00,18.00,5.00,99.53
2020.00,11.00,18.00,19.00,4.55,94.40
2020.00,11.00,18.00,20.00,5.30,91.12
2020.00,11.00,18.00,21.00,4.72,88.50
2020.00,11.00,18.00,22.00,5.25,86.27
2020.00,11.00,18.00,23.00,4.90,90.10
2023.00,5.00,2.00,0.00,5.58,9.57
2023.00,5.00,2.00,1.00,5.10,12.35
2023.00,5.00,2.00,2.00,4.88,13.60
2023.00,5.00,2.00,3.00,5.12,13.30
2023.00,5.00,2.00,4.00,8.00,14.45
2023.00,5.00,2.00,5.00,5.38,14.27
2023.00,5.00,2.00,6.00,5.88,14.30
2023.00,5.00,2.00,7.00,7.18,13.25
2023.00,5.00,2.00,8.00,8.55,12.82
2023.00,5.00,2.00,9.00,9.35,9.30
2023.00,5.00,2.00,10.00,9.82,10.45
2023.00,5.00,2.00,11.00,10.22,10.15
2023.00,5.00,2.00,12.00,10.90,9.60
2023.00,5.00,2.00,13.00,10.32,10.90
2023.00,5.00,2.00,14.00,7.33,16.82
2023.00,5.00,2.00,15.00,5.53,20.65
2023.00,5.00,2.00,16.00,4.08,27.62
2023.00,5.00,2.00,17.00,2.82,31.15
2023.00,5.00,2.00,18.00,2.45,34.33
2023.00,5.00,2.00,19.00,3.73,32.05
2023.00,5.00,2.00,20.00,8.10,35.08
2023.00,5.00,2.00,21.00,4.40,27.00
2023.00,5.00,2.00,22.00,3.90,26.40
2023.00,5.00,2.00,23.00,4.10,23.52
2021.00,1.00,21.00,0.00,25.13,39.35
2021.00,1.00,21.00,1.00,13.15,47.90
2021.00,1.00,21.00,2.00,10.20,45.90
2021.00,1.00,21.00,3.00,9.05,49.95
2021.00,1.00,21.00,4.00,16.62,49.67
2021.00,1.00,21.00,5.00,31.80,47.53
2021.00,1.00,21.00,6.00,42.92,50.65
2021.00,1.00,21.00,7.00,57.65,45.88
2021.00,1.00,21.00,8.00,71.75,38.88
2021.00,1.00,21.00,9.00,77.47,38.08
2021.00,1.00,21.00,10.00,74.75,42.08
2021.00,1.00,21.00,11.00,71.75,44.35
2021.00,1.00,21.00,12.00,42.40,66.17
2021.00,1.00,21.00,13.00,12.03,89.08
2021.00,1.00,21.00,14.00,3.50,98.32
2021.00,1.00,21.00,15.00,4.67,97.70
2021.00,1.00,21.00,16.00,6.38,91.15
2021.00,1.00,21.00,17.00,6.22,81.95
2021.00,1.00,21.00,18.00,5.83,78.12
2021.00,1.00,21.00,19.00,5.05,81.35
2021.00,1.00,21.00,20.00,4.20,64.45
2021.00,1.00,21.00,21.00,5.47,53.90
2021.00,1.00,21.00,22.00,9.02,46.67
2021.00,1.00,21.00,23.00,14.77,42.15
2022.00,8.00,15.00,0.00,3.32,3.15
2022.00,8.00,15.00,1.00,3.10,2.97
2022.00,8.00,15.00,2.00,3.97,3.52
2022.00,8.00,15.00,3.00,5.17,4.53
2022.00,8.00,15.00,4.00,5.42,3.10
2022.00,8.00,15.00,5.00,7.62,4.55
2022.00,8.00,15.00,6.00,10.65,4.70
2022.00,8.00,15.00,7.00,13.52,3.45
2022.00,8.00,15.00,8.00,13.55,2.45
2022.00,8.00,15.00,9.00,14.47,2.02
2022.00,8.00,15.00,10.00,16.98,2.90
2022.00,8.00,15.00,11.00,15.15,1.57
2022.00,8.00,15.00,12.00,14.32,2.50
2022.00,8.00,15.00,13.00,13.18,4.35
2022.00,8.00,15.00,14.00,5.05,6.10
2022.00,8.00,15.00,15.00,4.58,11.57
2022.00,8.00,15.00,16.00,4.70,14.88
2022.00,8.00,15.00,17.00,3.95,11.85
2022.00,8.00,15.00,18.00,4.70,8.25
2022.00,8.00,15.00,19.00,6.55,6.17
2022.00,8.00,15.00,20.00,3.60,5.65
2022.00,8.00,15.00,21.00,6.10,5.10
2022.00,8.00,15.00,22.00,4.35,4.30
2022.00,8.00,15.00,23.00,6.75,2.93
2021.00,7.00,9.00,0.00,58.13,27.35
2021.00,7.00,9.00,1.00,44.15,25.07
2021.00,7.00,9.00,2.00,39.02,24.23
2021.00,7.00,9.00,3.00,32.50,25.05
2021.00,7.00,9.00,4.00,39.12,19.38
2021.00,7.00,9.00,5.00,56.70,24.57
2021.00,7.00,9.00,6.00,58.52,33.17
2021.00,7.00,9.00,7.00,91.33,34.70
2021.00,7.00,9.00,8.00,139.78,32.05
2021.00,7.00,9.00,9.00,163.72,27.17
2021.00,7.00,9.00,10.00,137.85,24.15
2021.00,7.00,9.00,11.00,105.58,19.83
2021.00,7.00,9.00,12.00,98.07,20.95
2021.00,7.00,9.00,13.00,96.65,24.75
2021.00,7.00,9.00,14.00,74.12,35.02
2021.00,7.00,9.00,15.00,54.00,44.18
2021.00,7.00,9.00,16.00,57.00,43.62
2021.00,7.00,9.00,17.00,63.93,35.20
2021.00,7.00,9.00,18.00,53.08,31.53
2021.00,7.00,9.00,19.00,38.08,26.75
2021.00,7.00,9.00,20.00,32.30,22.85
2021.00,7.00,9.00,21.00,46.98,21.00
2021.00,7.00,9.00,22.00,19.43,24.40
2021.00,7.00,9.00,23.00,9.22,27.72
2020.00,4.00,5.00,0.00,17.25,22.65
2020.00,4.00,5.00,1.00,13.37,23.33
2020.00,4.00,5.00,2.00,18.75,20.43
2020.00,4.00,5.00,3.00,29.90,20.60
2020.00,4.00,5.00,4.00,40.10,15.70
2020.00,4.00,5.00,5.00,43.35,10.55
2020.00,4.00,5.00,6.00,48.70,9.12
2020.00,4.00,5.00,7.00,51.50,9.75
2020.00,4.00,5.00,8.00,51.73,8.85
2020.00,4.00,5.00,9.00,54.98,9.03
2020.00,4.00,5.00,10.00,56.00,8.10
2020.00,4.00,5.00,11.00,56.55,8.27
2020.00,4.00,5.00,12.00,57.13,10.15
2020.00,4.00,5.00,13.00,50.70,14.22
2020.00,4.00,5.00,14.00,37.17,20.02
2020.00,4.00,5.00,15.00,20.60,36.90
2020.00,4.00,5.00,16.00,22.27,28.92
2020.00,4.00,5.00,17.00,21.20,22.98
2020.00,4.00,5.00,18.00,14.43,27.85
2020.00,4.00,5.00,19.00,8.70,33.73
2020.00,4.00,5.00,20.00,14.60,30.15
2020.00,4.00,5.00,21.00,13.88,27.70
2020.00,4.00,5.00,22.00,13.93,22.05
2020.00,4.00,5.00,23.00,11.72,21.93
2024.00,1.00,22.00,0.00,4.85,44.35
2024.00,1.00,22.00,1.00,4.97,40.20
2024.00,1.00,22.00,2.00,5.03,32.85
2024.00,1.00,22.00,3.00,5.45,28.30
2024.00,1.00,22.00,4.00,5.38,38.83
2024.00,1.00,22.00,5.00,5.70,49.35
2024.00,1.00,22.00,6.00,7.82,60.78
2024.00,1.00,22.00,7.00,9.70,68.20
2024.00,1.00,22.00,8.00,12.50,63.45
2024.00,1.00,22.00,9.00,14.40,54.30
2024.00,1.00,22.00,10.00,15.28,51.63
2024.00,1.00,22.00,11.00,13.78,55.20
2024.00,1.00,22.00,12.00,9.80,60.80
2024.00,1.00,22.00,13.00,6.45,71.58
2024.00,1.00,22.00,14.00,5.70,83.05
2024.00,1.00,22.00,15.00,4.78,89.70
