year,month,day,hour,O3_target,NO2_target
2022.00,3.00,26.00,0.00,11.62,71.40
2022.00,3.00,26.00,1.00,10.75,70.30
2022.00,3.00,26.00,2.00,15.52,62.60
2022.00,3.00,26.00,3.00,34.88,53.58
2022.00,3.00,26.00,4.00,75.25,39.58
2022.00,3.00,26.00,5.00,124.03,28.48
2022.00,3.00,26.00,6.00,136.97,19.30
2022.00,3.00,26.00,7.00,126.05,11.65
2022.00,3.00,26.00,8.00,125.28,10.72
2022.00,3.00,26.00,9.00,131.62,14.35
2022.00,3.00,26.00,10.00,117.65,12.45
2022.00,3.00,26.00,11.00,113.40,13.35
2022.00,3.00,26.00,12.00,109.02,17.05
2022.00,3.00,26.00,13.00,92.12,31.93
2022.00,3.00,26.00,14.00,35.88,74.12
2022.00,3.00,26.00,15.00,15.80,88.35
2022.00,3.00,26.00,16.00,8.72,103.75
2022.00,3.00,26.00,17.00,7.23,103.12
2022.00,3.00,26.00,18.00,7.38,99.92
2022.00,3.00,26.00,19.00,9.50,92.43
2022.00,3.00,26.00,20.00,17.40,73.45
2022.00,3.00,26.00,21.00,52.82,57.30
2022.00,3.00,26.00,22.00,46.22,59.43
2022.00,3.00,26.00,23.00,37.77,64.10
2019.00,11.00,22.00,0.00,1.42,74.65
2019.00,11.00,22.00,1.00,2.23,70.05
2019.00,11.00,22.00,2.00,2.40,81.42
2019.00,11.00,22.00,3.00,2.55,154.70
2019.00,11.00,22.00,4.00,1.60,210.12
2019.00,11.00,22.00,5.00,5.20,213.92
2019.00,11.00,22.00,6.00,20.77,171.43
2019.00,11.00,22.00,7.00,54.23,106.65
2019.00,11.00,22.00,8.00,87.15,53.65
2019.00,11.00,22.00,9.00,120.00,45.55
2019.00,11.00,22.00,10.00,131.65,55.60
2019.00,11.00,22.00,11.00,97.20,88.73
2019.00,11.00,22.00,12.00,33.40,145.52
2019.00,11.00,22.00,13.00,2.92,210.00
2019.00,11.00,22.00,14.00,1.43,207.10
2019.00,11.00,22.00,15.00,1.40,195.50
2019.00,11.00,22.00,16.00,1.27,173.62
2019.00,11.00,22.00,17.00,0.75,174.93
2019.00,11.00,22.00,18.00,0.37,158.90
2019.00,11.00,22.00,19.00,0.95,144.62
2019.00,11.00,22.00,20.00,3.55,118.12
2019.00,11.00,22.00,21.00,4.47,123.40
2019.00,11.00,22.00,22.00,2.00,92.10
2019.00,11.00,22.00,23.00,1.10,85.20
2020.00,4.00,24.00,0.00,11.20,28.37
2020.00,4.00,24.00,1.00,15.33,26.75
2020.00,4.00,24.00,2.00,29.88,20.90
2020.00,4.00,24.00,3.00,53.23,14.05
2020.00,4.00,24.00,4.00,74.20,11.80
2020.00,4.00,24.00,5.00,96.45,10.02
2020.00,4.00,24.00,6.00,97.47,7.85
2020.00,4.00,24.00,7.00,113.60,8.88
2020.00,4.00,24.00,8.00,114.28,7.30
2020.00,4.00,24.00,9.00,126.70,6.70
2020.00,4.00,24.00,10.00,129.57,7.33
2020.00,4.00,24.00,11.00,134.75,5.67
2020.00,4.00,24.00,12.00,123.40,10.43
2020.00,4.00,24.00,13.00,110.32,15.55
2020.00,4.00,24.00,14.00,69.77,30.23
2020.00,4.00,24.00,15.00,33.65,55.02
2020.00,4.00,24.00,16.00,17.98,71.85
2020.00,4.00,24.00,17.00,31.35,46.38
2020.00,4.00,24.00,18.00,72.30,19.48
2020.00,4.00,24.00,19.00,69.70,11.85
2020.00,4.00,24.00,20.00,49.50,11.12
2020.00,4.00,24.00,21.00,34.05,16.70
2020.00,4.00,24.00,22.00,60.30,8.80
2020.00,4.00,24.00,23.00,53.17,8.28
