year,month,day,hour,O3_target,NO2_target
2024.00,5.00,5.00,0.00,7.62,83.65
2024.00,5.00,5.00,1.00,8.22,78.50
2024.00,5.00,5.00,2.00,6.70,120.90
2024.00,5.00,5.00,3.00,15.85,89.45
2024.00,5.00,5.00,4.00,60.30,61.85
2024.00,5.00,5.00,5.00,98.12,44.08
2024.00,5.00,5.00,6.00,121.60,24.87
2024.00,5.00,5.00,7.00,126.28,19.62
2024.00,5.00,5.00,8.00,121.95,14.47
2024.00,5.00,5.00,9.00,120.98,12.93
2024.00,5.00,5.00,10.00,115.72,12.90
2024.00,5.00,5.00,11.00,112.75,13.90
2024.00,5.00,5.00,12.00,110.00,14.02
2024.00,5.00,5.00,13.00,100.70,16.35
2024.00,5.00,5.00,14.00,82.78,27.55
2024.00,5.00,5.00,15.00,60.82,39.35
2024.00,5.00,5.00,16.00,43.47,49.02
2024.00,5.00,5.00,17.00,38.00,46.62
2024.00,5.00,5.00,18.00,25.35,49.77
2024.00,5.00,5.00,19.00,16.28,56.22
2024.00,5.00,5.00,20.00,14.50,52.05
2024.00,5.00,5.00,21.00,36.67,40.80
2024.00,5.00,5.00,22.00,44.27,28.73
2024.00,5.00,5.00,23.00,42.52,26.93
2022.00,3.00,26.00,0.00,8.67,53.80
2022.00,3.00,26.00,1.00,3.58,67.95
2022.00,3.00,26.00,2.00,5.95,64.45
2022.00,3.00,26.00,3.00,14.83,64.92
2022.00,3.00,26.00,4.00,46.27,39.73
2022.00,3.00,26.00,5.00,66.40,30.80
2022.00,3.00,26.00,6.00,77.33,18.58
2022.00,3.00,26.00,7.00,77.05,13.28
2022.00,3.00,26.00,8.00,77.40,14.12
2022.00,3.00,26.00,9.00,75.72,12.07
2022.00,3.00,26.00,10.00,72.65,12.08
2022.00,3.00,26.00,11.00,70.70,12.18
2022.00,3.00,26.00,12.00,67.10,17.98
2022.00,3.00,26.00,13.00,58.47,30.52
2022.00,3.00,26.00,14.00,40.10,46.70
2022.00,3.00,26.00,15.00,32.20,54.70
2022.00,3.00,26.00,16.00,31.27,56.57
2022.00,3.00,26.00,17.00,23.77,65.10
2022.00,3.00,26.00,18.00,23.45,59.20
2022.00,3.00,26.00,19.00,14.35,76.07
2022.00,3.00,26.00,20.00,3.30,57.55
2022.00,3.00,26.00,21.00,56.23,23.20
2022.00,3.00,26.00,22.00,52.80,23.27
2022.00,3.00,26.00,23.00,32.78,52.42
2019.00,11.00,22.00,0.00,6.92,61.83
2019.00,11.00,22.00,1.00,7.15,45.92
2019.00,11.00,22.00,2.00,7.40,55.05
2019.00,11.00,22.00,3.00,9.27,95.10
2019.00,11.00,22.00,4.00,10.85,155.50
2019.00,11.00,22.00,5.00,24.77,154.78
2019.00,11.00,22.00,6.00,64.30,114.12
2019.00,11.00,22.00,7.00,115.60,82.38
2019.00,11.00,22.00,8.00,145.38,51.00
2019.00,11.00,22.00,9.00,166.25,45.35
2019.00,11.00,22.00,10.00,140.07,36.52
2019.00,11.00,22.00,11.00,88.45,40.20
2019.00,11.00,22.00,12.00,69.08,47.68
2019.00,11.00,22.00,13.00,41.57,52.50
2019.00,11.00,22.00,14.00,38.38,56.85
2019.00,11.00,22.00,15.00,20.07,65.90
2019.00,11.00,22.00,16.00,10.55,78.77
2019.00,11.00,22.00,17.00,9.62,69.85
2019.00,11.00,22.00,18.00,9.70,65.10
2019.00,11.00,22.00,19.00,13.00,61.97
2019.00,11.00,22.00,20.00,15.30,56.20
2019.00,11.00,22.00,21.00,16.05,53.60
2019.00,11.00,22.00,22.00,8.95,52.70
2019.00,11.00,22.00,23.00,10.23,53.75
2020.00,8.00,21.00,0.00,5.07,14.17
2020.00,8.00,21.00,1.00,5.17,14.90
2020.00,8.00,21.00,2.00,9.40,11.03
2020.00,8.00,21.00,3.00,16.55,12.77
2020.00,8.00,21.00,4.00,23.65,12.43
2020.00,8.00,21.00,5.00,38.10,13.92
2020.00,8.00,21.00,6.00,48.05,15.43
2020.00,8.00,21.00,7.00,49.55,14.75
2020.00,8.00,21.00,8.00,50.62,14.67
2020.00,8.00,21.00,9.00,45.77,14.67
2020.00,8.00,21.00,10.00,40.65,13.82
2020.00,8.00,21.00,11.00,33.27,12.67
2020.00,8.00,21.00,12.00,29.65,14.72
2020.00,8.00,21.00,13.00,19.73,20.48
2020.00,8.00,21.00,14.00,6.78,29.85
